ranking,jp_name,eng_name,agency,total_subs,total_views
282,焼まゆるのお絵かきちゃんねる, , ,"59,500","2,905,778"
283,YadiDoll zaotome(海外),YadiDoll zaotome, ,"59,500","2,718,577"
284,一ノ瀬うるは, ,LVG/IBG,"59,400","3,137,726"
285,アメノセイ,アメノセイ-AMENOSEI, ,"59,100","4,204,110"
286,ギルザレンIII世,Gilzaren III Season 2,にじさんじ(1・2期生),"58,400","1,388,355"
287,宗谷いちか,Ichika Channel / 宗谷 いちか 【あにまーれ】,あにまーれ,"58,100","4,088,860"
288,天川アルト,Amakawa Alto 天川アルト,ぶいめん,"57,500","1,259,009"
289,メイドのユキさん,メイドのユキさん 調教少女, ,"57,400","7,160,376"
290,藤間桜,藤間桜【22/7公式】,22/7,"57,300","5,590,945"
291,鈴谷アキ(旧チャンネル),アキくんちゃんネル,にじさんじ(1・2期生),"56,800","3,079,947"
292,島村シャルロット,Charlotte Channel / 島村シャルロット【ハニスト】,ハニーストラップ,"56,600","4,492,657"
293,マガジヨミ,週刊少年マガジン,転生組,"56,400","22,827,314"
294,鴨見カモミ,CAMOMI Camomi Channel 【鴨見カモミ】,ブイアパ,"56,400","2,845,402"
295,日雇礼子,日雇礼子のドヤ街暮らしチャンネル,順位をツイート,"56,200","5,277,644"
296,大河ユウ,Taiga Yu 大河ユウ,ぶいめん,"56,100","721,455"
297,邪神ちゃんねる, , ,"55,700","7,838,350"
298,夕闇ルキア,Yuyami Lukia 夕闇ルキア,ぶいめん,"55,700","818,353"
299,先端恐怖症 / Sentan, ,転生組,"55,600","15,609,435"
300,すあだちゃんねる, ,転生組,"55,300","8,679,972"
301,眠未ねる,Nemumi Neru 眠未ねる,ぶいめん,"54,600","676,989"
302,理芽(りめ),理芽,神椿,"54,100","4,574,542"
303,Tomari Mari channel / 兎鞠まりちゃんねる, ,upd8,"54,100","3,005,243"
304,乾伸一郎,乾ちゃんねる,VEEMusic,"54,100","1,455,564"
305,瀬兎一也/SetoKazuya, ,あふたーしーくれっと,"53,700","4,884,597"
306,来栖夏芽(くるすなつめ),来栖 夏芽-kurusu natsume-【にじさんじ】,にじさんじ(統合後),"52,500","1,350,674"
307,SLAVE V-V-R, , ,"52,400","10,568,825"
308,響木アオ,響木アオ-HibikiAo-,upd8,"52,300","3,869,719"
309,矢車りね,矢車りね - Rine Yaguruma -,にじさんじ(SEEDs出身),"52,200","1,050,263"
310,ちくわ,ちくわちゃんねる, ,"51,700","2,687,403"
311,虹河ラキ,Laki Station ラキステーション,upd8,"51,500","3,076,585"
312,弦月藤士郎,弦月 藤士郎 / Genzuki Tojiro【にじさんじ】,にじさんじ(統合後),"51,300","1,530,688"
313,Emoco Ch. / えもこ, , ,"51,200","4,255,163"
314,ARu子, , ,"51,100","3,676,960"
315,アユンダ・リス,Ayunda Risu Ch. hololive-ID,ホロライブ,"51,000","670,658"
316,春猿火, ,神椿,"50,900","4,446,380"
317,Alia Adelia Ch., , ,"50,700","1,449,696"
318,Popo Kids「ポポキッズ」, ,転生組,"50,300","30,921,330"
319,杏戸ゆげ,Uge Channel / 杏戸ゆげ 【ブイアパ】,ブイアパ,"49,900","3,508,897"
320,地球ちゃん(海外),Земля Чан, ,"49,400","1,383,157"
321,ぽちまる/ぽち小屋。ちゃんねる, ,バ美肉,"49,000","1,369,350"
